"Amino Acid","Unbound Rotamer","Bound Rotamer","Transition Probability"
ARG,1,1,0.262
ARG,1,2,0.054
ARG,1,3,0.063
ARG,1,4,0.118
ARG,1,5,0.118
ARG,1,6,0.041
ARG,1,7,0.054
ARG,1,8,0.014
ARG,1,9,0.014
ARG,1,10,0.000
ARG,1,u,0.262
ARG,2,1,0.241
ARG,2,2,0.155
ARG,2,3,0.052
ARG,2,4,0.155
ARG,2,5,0.052
ARG,2,6,0.000
ARG,2,7,0.000
ARG,2,8,0.052
ARG,2,9,0.000
ARG,2,10,0.052
ARG,2,u,0.241
ARG,3,1,0.064
ARG,3,2,0.043
ARG,3,3,0.250
ARG,3,4,0.121
ARG,3,5,0.086
ARG,3,6,0.043
ARG,3,7,0.000
ARG,3,8,0.000
ARG,3,9,0.021
ARG,3,10,0.000
ARG,3,u,0.371
ARG,4,1,0.162
ARG,4,2,0.042
ARG,4,3,0.099
ARG,4,4,0.324
ARG,4,5,0.021
ARG,4,6,0.042
ARG,4,7,0.000
ARG,4,8,0.042
ARG,4,9,0.021
ARG,4,10,0.042
ARG,4,u,0.204
ARG,5,1,0.350
ARG,5,2,0.000
ARG,5,3,0.000
ARG,5,4,0.225
ARG,5,5,0.075
ARG,5,6,0.000
ARG,5,7,0.000
ARG,5,8,0.000
ARG,5,9,0.000
ARG,5,10,0.000
ARG,5,u,0.350
ARG,6,1,0.094
ARG,6,2,0.047
ARG,6,3,0.047
ARG,6,4,0.094
ARG,6,5,0.094
ARG,6,6,0.266
ARG,6,7,0.000
ARG,6,8,0.000
ARG,6,9,0.000
ARG,6,10,0.000
ARG,6,u,0.359
ARG,7,1,0.000
ARG,7,2,0.000
ARG,7,3,0.414
ARG,7,4,0.103
ARG,7,5,0.000
ARG,7,6,0.000
ARG,7,7,0.000
ARG,7,8,0.000
ARG,7,9,0.000
ARG,7,10,0.000
ARG,7,u,0.483
ARG,8,1,0.143
ARG,8,2,0.000
ARG,8,3,0.143
ARG,8,4,0.143
ARG,8,5,0.000
ARG,8,6,0.000
ARG,8,7,0.000
ARG,8,8,0.000
ARG,8,9,0.000
ARG,8,10,0.000
ARG,8,u,0.571
ARG,9,1,0.000
ARG,9,2,0.000
ARG,9,3,0.200
ARG,9,4,0.000
ARG,9,5,0.000
ARG,9,6,0.000
ARG,9,7,0.000
ARG,9,8,0.200
ARG,9,9,0.200
ARG,9,10,0.000
ARG,9,u,0.400
ARG,10,1,0.250
ARG,10,2,0.000
ARG,10,3,0.000
ARG,10,4,0.000
ARG,10,5,0.000
ARG,10,6,0.000
ARG,10,7,0.000
ARG,10,8,0.250
ARG,10,9,0.000
ARG,10,10,0.500
ARG,10,u,0.000
ARG,11,1,0.500
ARG,11,2,0.000
ARG,11,3,0.000
ARG,11,4,0.000
ARG,11,5,0.000
ARG,11,6,0.000
ARG,11,7,0.000
ARG,11,8,0.000
ARG,11,9,0.000
ARG,11,10,0.000
ARG,11,u,0.500
ARG,12,1,0.000
ARG,12,2,0.000
ARG,12,3,0.000
ARG,12,4,0.000
ARG,12,5,0.000
ARG,12,6,0.000
ARG,12,7,0.000
ARG,12,8,0.000
ARG,12,9,0.000
ARG,12,10,0.000
ARG,12,u,1.000
ARG,u,1,0.157
ARG,u,2,0.024
ARG,u,3,0.102
ARG,u,4,0.102
ARG,u,5,0.035
ARG,u,6,0.090
ARG,u,7,0.035
ARG,u,8,0.047
ARG,u,9,0.012
ARG,u,10,0.012
ARG,u,u,0.384
HIS,1,1,0.799
HIS,1,2,0.067
HIS,1,3,0.120
HIS,1,u,0.014
HIS,2,1,0.167
HIS,2,2,0.790
HIS,2,3,0.043
HIS,2,u,0.000
HIS,3,1,0.173
HIS,3,2,0.173
HIS,3,3,0.653
HIS,3,u,0.000
HIS,u,1,1.000
HIS,u,2,0.000
HIS,u,3,0.000
HIS,u,u,0.000
LYS,1,1,0.584
LYS,1,2,0.080
LYS,1,3,0.074
LYS,1,4,0.029
LYS,1,5,0.029
LYS,1,u,0.204
LYS,2,1,0.278
LYS,2,2,0.382
LYS,2,3,0.085
LYS,2,4,0.027
LYS,2,5,0.019
LYS,2,u,0.208
LYS,3,1,0.337
LYS,3,2,0.053
LYS,3,3,0.337
LYS,3,4,0.126
LYS,3,5,0.021
LYS,3,u,0.126
LYS,4,1,0.217
LYS,4,2,0.152
LYS,4,3,0.043
LYS,4,4,0.370
LYS,4,5,0.000
LYS,4,u,0.217
LYS,5,1,0.250
LYS,5,2,0.458
LYS,5,3,0.042
LYS,5,4,0.000
LYS,5,5,0.042
LYS,5,u,0.208
LYS,u,1,0.300
LYS,u,2,0.203
LYS,u,3,0.106
LYS,u,4,0.034
LYS,u,5,0.034
LYS,u,u,0.324
ASP,1,1,0.835
ASP,1,2,0.105
ASP,1,3,0.054
ASP,1,u,0.006
ASP,2,1,0.249
ASP,2,2,0.677
ASP,2,3,0.074
ASP,2,u,0.000
ASP,3,1,0.192
ASP,3,2,0.078
ASP,3,3,0.731
ASP,3,u,0.000
ASP,u,1,0.000
ASP,u,2,0.000
ASP,u,3,0.000
ASP,u,u,0.000
GLU,1,1,0.518
GLU,1,2,0.178
GLU,1,3,0.114
GLU,1,4,0.015
GLU,1,5,0.029
GLU,1,6,0.020
GLU,1,7,0.006
GLU,1,u,0.120
GLU,2,1,0.181
GLU,2,2,0.516
GLU,2,3,0.075
GLU,2,4,0.028
GLU,2,5,0.047
GLU,2,6,0.047
GLU,2,7,0.039
GLU,2,u,0.067
GLU,3,1,0.212
GLU,3,2,0.106
GLU,3,3,0.496
GLU,3,4,0.000
GLU,3,5,0.062
GLU,3,6,0.044
GLU,3,7,0.018
GLU,3,u,0.062
GLU,4,1,0.175
GLU,4,2,0.386
GLU,4,3,0.088
GLU,4,4,0.175
GLU,4,5,0.088
GLU,4,6,0.000
GLU,4,7,0.000
GLU,4,u,0.088
GLU,5,1,0.433
GLU,5,2,0.104
GLU,5,3,0.030
GLU,5,4,0.030
GLU,5,5,0.224
GLU,5,6,0.104
GLU,5,7,0.000
GLU,5,u,0.075
GLU,6,1,0.217
GLU,6,2,0.043
GLU,6,3,0.000
GLU,6,4,0.109
GLU,6,5,0.043
GLU,6,6,0.326
GLU,6,7,0.043
GLU,6,u,0.217
GLU,7,1,0.000
GLU,7,2,0.000
GLU,7,3,0.000
GLU,7,4,0.000
GLU,7,5,0.000
GLU,7,6,0.000
GLU,7,7,0.500
GLU,7,u,0.500
GLU,u,1,0.266
GLU,u,2,0.138
GLU,u,3,0.138
GLU,u,4,0.110
GLU,u,5,0.046
GLU,u,6,0.064
GLU,u,7,0.018
GLU,u,u,0.220
SER,1,1,0.676
SER,1,2,0.176
SER,1,3,0.131
SER,1,u,0.016
SER,2,1,0.347
SER,2,2,0.541
SER,2,3,0.113
SER,2,u,0.000
SER,3,1,0.240
SER,3,2,0.296
SER,3,3,0.433
SER,3,u,0.030
SER,u,1,0.292
SER,u,2,0.292
SER,u,3,0.417
SER,u,u,0.000
THR,1,1,0.774
THR,1,2,0.173
THR,1,3,0.047
THR,1,u,0.006
THR,2,1,0.253
THR,2,2,0.691
THR,2,3,0.037
THR,2,u,0.019
THR,3,1,0.296
THR,3,2,0.247
THR,3,3,0.457
THR,3,u,0.000
THR,u,1,0.206
THR,u,2,0.500
THR,u,3,0.294
THR,u,u,0.000
ASN,1,1,0.831
ASN,1,2,0.131
ASN,1,3,0.012
ASN,1,u,0.026
ASN,2,1,0.366
ASN,2,2,0.611
ASN,2,3,0.023
ASN,2,u,0.000
ASN,3,1,0.289
ASN,3,2,0.167
ASN,3,3,0.500
ASN,3,u,0.044
ASN,u,1,0.379
ASN,u,2,0.138
ASN,u,3,0.241
ASN,u,u,0.241
GLN,1,1,0.581
GLN,1,2,0.163
GLN,1,3,0.036
GLN,1,4,0.045
GLN,1,5,0.036
GLN,1,6,0.012
GLN,1,u,0.127
GLN,2,1,0.239
GLN,2,2,0.472
GLN,2,3,0.117
GLN,2,4,0.074
GLN,2,5,0.049
GLN,2,6,0.025
GLN,2,u,0.025
GLN,3,1,0.115
GLN,3,2,0.000
GLN,3,3,0.710
GLN,3,4,0.031
GLN,3,5,0.000
GLN,3,6,0.000
GLN,3,u,0.145
GLN,4,1,0.195
GLN,4,2,0.156
GLN,4,3,0.104
GLN,4,4,0.299
GLN,4,5,0.000
GLN,4,6,0.052
GLN,4,u,0.195
GLN,5,1,0.200
GLN,5,2,0.200
GLN,5,3,0.100
GLN,5,4,0.000
GLN,5,5,0.200
GLN,5,6,0.000
GLN,5,u,0.300
GLN,6,1,0.426
GLN,6,2,0.000
GLN,6,3,0.000
GLN,6,4,0.074
GLN,6,5,0.000
GLN,6,6,0.278
GLN,6,u,0.222
GLN,u,1,0.190
GLN,u,2,0.171
GLN,u,3,0.244
GLN,u,4,0.073
GLN,u,5,0.039
GLN,u,6,0.039
GLN,u,u,0.244
CYS,1,1,0.850
CYS,1,2,0.100
CYS,1,3,0.049
CYS,1,u,0.000
CYS,2,1,0.110
CYS,2,2,0.780
CYS,2,3,0.110
CYS,2,u,0.000
CYS,3,1,0.000
CYS,3,2,0.000
CYS,3,3,1.000
CYS,3,u,0.000
CYS,u,1,0.000
CYS,u,2,0.000
CYS,u,3,0.000
CYS,u,u,0.000
PRO,1,1,0.725
PRO,1,2,0.275
PRO,1,u,0.000
PRO,2,1,0.308
PRO,2,2,0.692
PRO,2,u,0.000
PRO,u,1,0.000
PRO,u,2,0.000
PRO,u,u,0.000
ILE,1,1,0.905
ILE,1,2,0.042
ILE,1,3,0.053
ILE,1,u,0.000
ILE,2,1,0.467
ILE,2,2,0.415
ILE,2,3,0.119
ILE,2,u,0.000
ILE,3,1,0.231
ILE,3,2,0.231
ILE,3,3,0.538
ILE,3,u,0.000
ILE,u,1,0.000
ILE,u,2,1.000
ILE,u,3,0.000
ILE,u,u,0.000
LEU,1,1,0.869
LEU,1,2,0.112
LEU,1,3,0.013
LEU,1,u,0.006
LEU,2,1,0.384
LEU,2,2,0.601
LEU,2,3,0.014
LEU,2,u,0.000
LEU,3,1,0.567
LEU,3,2,0.133
LEU,3,3,0.300
LEU,3,u,0.000
LEU,u,1,1.000
LEU,u,2,0.000
LEU,u,3,0.000
LEU,u,u,0.000
MET,1,1,0.663
MET,1,2,0.166
MET,1,3,0.086
MET,1,u,0.086
MET,2,1,0.124
MET,2,2,0.562
MET,2,3,0.124
MET,2,u,0.189
MET,3,1,0.146
MET,3,2,0.146
MET,3,3,0.146
MET,3,u,0.563
MET,4,1,0.203
MET,4,2,0.203
MET,4,3,0.000
MET,4,u,0.594
MET,u,1,0.148
MET,u,2,0.265
MET,u,3,0.117
MET,u,u,0.470
PHE,1,1,0.862
PHE,1,2,0.100
PHE,1,3,0.019
PHE,1,u,0.019
PHE,2,1,0.056
PHE,2,2,0.944
PHE,2,3,0.000
PHE,2,u,0.000
PHE,3,1,0.294
PHE,3,2,0.119
PHE,3,3,0.588
PHE,3,u,0.000
PHE,u,1,0.321
PHE,u,2,0.679
PHE,u,3,0.000
PHE,u,u,0.000
TRP,1,1,0.818
TRP,1,2,0.036
TRP,1,3,0.074
TRP,1,4,0.000
TRP,1,5,0.036
TRP,1,6,0.000
TRP,1,7,0.036
TRP,1,u,0.000
TRP,2,1,0.122
TRP,2,2,0.878
TRP,2,3,0.000
TRP,2,4,0.000
TRP,2,5,0.000
TRP,2,6,0.000
TRP,2,7,0.000
TRP,2,u,0.000
TRP,3,1,0.331
TRP,3,2,0.000
TRP,3,3,0.446
TRP,3,4,0.000
TRP,3,5,0.000
TRP,3,6,0.000
TRP,3,7,0.223
TRP,3,u,0.000
TRP,4,1,0.430
TRP,4,2,0.140
TRP,4,3,0.140
TRP,4,4,0.290
TRP,4,5,0.000
TRP,4,6,0.000
TRP,4,7,0.000
TRP,4,u,0.000
TRP,5,1,0.000
TRP,5,2,0.000
TRP,5,3,0.000
TRP,5,4,0.246
TRP,5,5,0.509
TRP,5,6,0.000
TRP,5,7,0.246
TRP,5,u,0.000
TRP,6,1,0.000
TRP,6,2,0.000
TRP,6,3,0.000
TRP,6,4,0.000
TRP,6,5,0.000
TRP,6,6,1.000
TRP,6,7,0.000
TRP,6,u,0.000
TRP,7,1,0.000
TRP,7,2,0.000
TRP,7,3,0.000
TRP,7,4,0.000
TRP,7,5,0.000
TRP,7,6,0.000
TRP,7,7,1.000
TRP,7,u,0.000
TRP,u,1,0.674
TRP,u,2,0.000
TRP,u,3,0.000
TRP,u,4,0.000
TRP,u,5,0.000
TRP,u,6,0.326
TRP,u,7,0.000
TRP,u,u,0.000
TYR,1,1,0.900
TYR,1,2,0.060
TYR,1,3,0.020
TYR,1,u,0.020
TYR,2,1,0.167
TYR,2,2,0.772
TYR,2,3,0.061
TYR,2,u,0.000
TYR,3,1,0.120
TYR,3,2,0.054
TYR,3,3,0.826
TYR,3,u,0.000
TYR,u,1,0.000
TYR,u,2,0.000
TYR,u,3,0.000
TYR,u,u,0.000
VAL,1,1,0.861
VAL,1,2,0.091
VAL,1,3,0.039
VAL,1,u,0.009
VAL,2,1,0.263
VAL,2,2,0.641
VAL,2,3,0.077
VAL,2,u,0.019
VAL,3,1,0.333
VAL,3,2,0.182
VAL,3,3,0.475
VAL,3,u,0.010
VAL,u,1,1.000
VAL,u,2,0.000
VAL,u,3,0.000
VAL,u,u,0.000
